Chromosome	Sequence_length	WT_rep1	WT_rep1_density	WT_rep1_scaling	WT_rep2	WT_rep2_density	WT_rep2_scaling	DKO_rep1	DKO_rep1_density	DKO_rep1_scaling	DKO_rep2	DKO_rep2_density	DKO_rep2_scaling
chr1	197195432	12771324	0.064764807	0.953051535	11933130	0.060514231	0.984631226	18715879	0.094910307	1.308811319	10503122	0.053262502	1.154152579
chr2	181748087	17590357	0.096784276	1.42423652	13948345	0.076745485	1.248731064	17384483	0.095651532	1.3190328	10244051	0.05636401	1.2213596
chr3	159599783	8994746	0.056358134	0.829342497	7586874	0.047536869	0.773475672	9978792	0.062523844	0.862202619	6083784	0.038118999	0.826005914
chr4	155630120	11298183	0.072596378	1.06829763	10541549	0.067734633	1.102114872	10993413	0.070638081	0.974097784	7524480	0.048348482	1.047669996
chr5	152537259	11393177	0.074691109	1.099122805	10753037	0.070494495	1.147020779	11089760	0.072701975	1.002558846	7473205	0.048992653	1.061628635
chr6	149517037	10011947	0.066961914	0.985383243	8863453	0.059280555	0.964558	10331564	0.069099577	0.952881844	6576245	0.043983249	0.953079151
chr7	152524553	10690328	0.070089227	1.031403455	10166021	0.066651702	1.084494428	10266262	0.067308914	0.928188635	7348734	0.048180662	1.044033498
chr8	131738871	9518870	0.072255591	1.063282757	9368820	0.071116595	1.157143023	9466564	0.071858548	0.990928004	6646267	0.050450311	1.093214828
chr9	124076172	9970488	0.080357798	1.182511414	8863951	0.071439591	1.162398508	9970638	0.080359007	1.108149172	6566758	0.052925214	1.146843856
chr10	129993255	8591341	0.066090668	0.972562345	7733210	0.059489317	0.96795478	9071130	0.069781544	0.962286152	5815305	0.044735436	0.969378416
chr11	121843856	11047369	0.090668248	1.334235643	11096103	0.091068219	1.481777268	14706599	0.120700374	1.66445585	9055156	0.074317707	1.610400767
chr12	121257530	8195419	0.067586887	0.994580081	7218063	0.05952672	0.968563356	8597349	0.070901568	0.977731266	5086548	0.041948306	0.908983702
chr13	120284312	7653658	0.063629728	0.936348192	6688883	0.055608939	0.90481688	8053941	0.066957535	0.923343123	5184840	0.043104873	0.93404551
chr14	125194864	7491622	0.059839691	0.880575618	6773958	0.054107315	0.880383856	7769543	0.062059599	0.855800677	4775846	0.0381473	0.826619162
chr15	103494974	7500186	0.072469084	1.066424433	7023181	0.067860117	1.10415663	7474632	0.072222174	0.995942395	5105288	0.04932885	1.068913725
chr16	98319150	6165395	0.062707977	0.922784101	5476940	0.05570573	0.906391765	6468308	0.065788893	0.907227571	4188209	0.0425981	0.923064178
chr17	95272651	7123191	0.074766378	1.10023043	6742799	0.07077371	1.151563914	6722481	0.070560449	0.973027238	4645132	0.048756196	1.056504805
chr18	90772031	5918693	0.065203928	0.959513465	4963866	0.054684972	0.88978295	6300924	0.069414818	0.957229011	4045866	0.044571725	0.965830929
chr19	61342430	4683594	0.076351622	1.12355821	4336732	0.070697102	1.150317407	4498807	0.073339237	1.011346673	3112651	0.050742219	1.099540219
chrM	16299	200	0.012270691	0.180570312	67	0.004110682	0.066885184	152	0.009325726	0.128601576	0	0	0
chrX	166650296	3712030	0.022274368	0.327780188	3050968	0.018307606	0.297884322	4533055	0.027201002	0.375101294	2502429	0.015016049	0.32538486
chrY	15902555	92922	0.005843212	0.085986239	37666	0.00236855	0.038538844	130394	0.008199563	0.113071816	36478	0.002293845	0.049705653
TOTALs	2654911517	180415040	0.067955199	1	163167616	0.061458777	1	192524670	0.072516417	1	122520394	0.046148579	1
